Popis,,"Stav zásoby","Cena bez DPH","Cena s DPH",,,Zkratka
"2-8 MVQ",,-10,"3,97","4,8",,,"O kroužek MVQ"
2-80,,16,"3,3","3,99",,,"O kroužek NBR"
2-85,,325,"4,63","5,6",,,"O kroužek NBR"
2-9,,352,"0,76","0,92",,,"O kroužek NBR"
2-90,,371,"4,5","5,45",,,"O kroužek NBR"
2-92,,80,6,"7,26",,,"O kroužek NBR"
2-95,,332,"3,8","4,6",,,"O kroužek NBR"
"3,2-27",,5,28,"33,88",,,"O kroužek NBR"
"3,53-145,65",,0,"23,2","28,07",,,"O kroužek NBR"
"3,53-40,87",,0,"1,64","1,98",,,"O kroužek NBR"
"3,53-69,44",,0,"5,3","6,41",,,"O kroužek NBR"
"3,53-98,02   SI",,0,81,"98,01",,,"O kroužek"
"3,55-140",,2,"23,5","28,44",,,"O kroužek NBR"
"3,55-160",,0,"49,8","60,26",,,"O kroužek NBR"
"3,55-35,5            45802",,21,"3,97","4,8",,,"O kroužek NBR"
"3,55-42,5                45802",,2,"4,38","5,3",,,"O kroužek NBR"
"3,55-56",,0,"8,26",10,,,"O kroužek NBR"
"3,55-63",,50,"7,2","8,71",,,"O kroužek NBR"
"3,55-69",,0,"6,2","7,5",,,"O kroužek NBR"
"3,55-73",,4,"9,26","11,2",,,"O kroužek NBR"
"3,55-97,5",,2,"10,5","12,71",,,"O kroužek NBR"
"3,5-100   80 Sh   FPM",,0,"1,81","2,19",,,"O kroužek NBR"
"3,5-105",,10,"10,6","12,83",,,"O kroužek NBR"
"3,5-108",,13,"10,6","12,83",,,"O kroužek NBR"
"3,5-11",,49,"2,2","2,66",,,"O kroužek NBR"
"3,5-110",,17,"10,7","12,95",,,"O kroužek NBR"
"3,5-116",,95,6,"7,26",,,"O kroužek NBR"
"3,5-12",,43,"2,4","2,9",,,"O kroužek NBR"
"3,5-130",,22,25,"30,25",,,"3,5-130"
"3,5-15",,38,"2,4","2,9",,,"O kroužek NBR"
"3,5-150",,20,"17,58","21,27",,,"O kroužek NBR"
"3,5-165",,93,"17,58","21,27",,,"O kroužek NBR"
"3,5-17",,217,"1,2","1,45",,,"O kroužek NBR"
"3,5-18",,39,"3,65","4,42",,,"O kroužek NBR"
"3,5-19",,89,"3,65","4,42",,,"O kroužek NBR"
"3,5-20",,135,"3,65","4,42",,,"O kroužek NBR"
"3,5-20          MVQ",,40,"5,65","6,84",,,"O kroužek NBR"
"3,5-21",,64,"2,9","3,51",,,"O kroužek NBR"
"3,5-24",,415,"2,75","3,33",,,"O kroužek NBR"
"3,5-25",,151,"3,6","4,36",,,"O kroužek"
"3,5-26",,936,"3,6","4,36",,,"O kroužek"
"3,5-30",,127,"3,72","4,5",,,"O kroužek NBR"
"3,5-31",,91,"3,72","4,5",,,"O kroužek NBR"
"3,5-32",,96,"3,45","4,17",,,"O kroužek NBR"
"3,5-33",,378,"3,45","4,17",,,"O kroužek NBR"
"3,5-35",,181,"4,21","5,1",,,"O kroužek NBR"
"3,5-36",,24,"9,21","11,15",,,"O kroužek NBR"
"3,5-38",,142,"2,9","3,51",,,"O kroužek NBR"
"3,5-40",,964,"3,1","3,75",,,"O kroužek"
"3,5-44",,331,"3,97","4,8",,,"O kroužek NBR"
"3,5-50",,147,"12,4",15,,,"O kroužek NBR"
"3,5-52",,45,"3,5","4,24",,,"O kroužek NBR"
"3,5-54",,252,"3,5","4,24",,,"O kroužek NBR"
"3,5-66   70 Sh   NBR",,276,"3,6","4,36",,,"O kroužek NBR"
"3,5-75",,24,"6,9","8,35",,,"O kroužek NBR"
"3,5-85",,254,"3,5","4,24",,,"O kroužek NBR"
"3,5-85   70 Sh   NBR",,10,"7,7","9,32",,,"O kroužek NBR"
"3,5-90",,16,8,"9,68",,,"O kroužek NBR"
"3,5-93",,96,"7,1","8,59",,,"O kroužek NBR"
3-10,,120,"1,8","2,18",,,"O kroužek NBR"
3-100,,97,"6,7","8,11",,,"O kroužek NBR"
"3-104   MVQ",,14,"15,37","18,6",,,"O kroužek NBR"
3-105,,7,"10,66","12,9",,,"O kroužek NBR"
3-11,,75,"0,6","0,73",,,"O kroužek NBR"
3-110,,52,"9,5","11,5",,,"O kroužek NBR"
3-116,,293,"5,8","7,02",,,"O kroužek NBR"
3-12,,753,"1,4","1,69",,,"O kroužek NBR"
3-120,,72,"8,8","10,65",,,"O kroužek NBR"
3-125,,125,"7,31","8,85",,,"O kroužek NBR"
"3-125  MVQ",,16,"26,7","32,31",,,"O kroužek NBR"
3-13,,43,3,"3,63",,,"O kroužek MVQ"
"3-13  MVQ",,50,"24,7","29,89",,,"O kroužek MVQ"
